PC1,PC2,PC3
-0.06638132,0.039903466,0.11193283
0.062312454,-0.051693402,0.10127941
0.04946221,-0.01918333,-0.056713548
0.07193943,-0.09719559,0.011999942
0.06736372,-0.017370313,7.1688555e-05
0.013176855,0.091896884,0.04507671
0.034393724,0.09952273,-0.046130452
-0.06318869,-0.017507575,0.03277158
0.052305125,-0.05457573,0.05096854
-0.010455623,-0.055676408,0.117539704
-0.032777574,0.053908106,0.0016399716
0.06444019,-0.025075689,0.012174668
-0.0017372179,0.028295085,0.0011499813
0.0074996334,-0.068027005,0.08058008
-0.005913567,0.062901214,0.034400187
0.064683795,0.013276925,-0.0036374964
-0.044762895,-0.07747105,-0.03752241
0.052737787,0.058468126,-0.04542173
-0.054153997,0.013870861,-0.072301194
-0.09282471,0.023294518,-0.017190544
0.03906692,0.07568163,0.027292246
-0.076149635,0.0050319093,-0.0064903637
0.08440861,0.003878377,-0.010182721
0.06491805,-0.016750842,-0.036127254
0.042793002,0.043731406,-0.014303251
-0.045201182,0.02840629,-0.0039754845
-0.09624565,0.028736621,0.07397804
0.036755826,0.035802294,-0.01017873
-0.08157559,0.05528692,0.015638532
-0.011491855,-0.015502915,-0.041742958
0.008359729,-0.05024647,0.007906774
0.047442872,-0.03696289,-0.04426297
-0.08094225,0.060669377,-0.013357453
-0.08673146,-0.058888767,-0.011737931
-0.029927943,-0.02261443,0.081083074
0.023418313,-0.05576171,0.04968782
0.020635631,-0.08337877,-0.058392167
0.0001558587,0.012390535,0.044716448
-0.057336498,0.02147862,-0.102853
0.010760049,0.051516525,0.021982504
0.058415465,0.038286578,-0.038567282
0.024767542,-0.08070158,-0.008986498
0.10470442,-0.0766897,0.015149985
-0.018936744,0.084668994,-0.0056402385
-0.033539154,0.03152756,0.03853723
-0.010651529,0.08530681,-0.059707552
-0.029364172,0.08092769,0.050337203
-0.01901308,0.007708201,0.04743214
0.0043424554,-0.005708334,-0.046850003
-0.07651011,0.052927546,0.025291039
-0.020975094,-0.07199573,0.09697662
0.0140719,-0.022569038,0.032264
0.005478083,-0.058458637,0.0071188873
0.0058542173,-0.05155627,-0.09915663
-0.011683775,0.14598668,0.032412685
0.04451394,-0.047134575,-0.014660588
-0.05273579,-0.0016003383,0.007822599
0.08342008,-0.0023979489,0.0012167471
0.059704997,0.045518477,-0.103585914
-0.044508286,-0.010699922,-0.027731443
0.03628028,0.051153768,0.00013594795
0.047516022,0.08432016,-0.053599074
-0.044541202,-0.061341852,0.09519835
-0.02172194,0.09193409,0.035981484
0.07331776,0.024873732,-0.006938552
0.02117832,-0.013738131,0.015653154
0.0045924294,0.091047555,0.025818221
0.025811002,-0.037261482,-0.027321232
0.032553073,-0.039417606,0.03340496
0.055620864,-0.03362163,0.041279614
0.05545306,-0.011045153,0.007511037
-0.037494525,0.07760049,-0.07176145
-0.06023233,0.023728339,0.013577664
0.010729641,0.07705405,-0.056847077
-0.06523464,-0.049981453,0.06170762
-0.040686525,-0.039488778,0.011513809
-0.056159623,0.056616012,0.00496633
0.08325501,0.024537038,0.004683038
0.07764823,-0.083583854,-0.04433801
0.06803972,-0.03743354,0.009049408
-0.0405506,-0.08447582,-0.09582044
-0.014393226,0.011522414,-0.062793806
-0.08823114,-0.03334178,0.025118299
-0.026181735,0.05224401,-0.04781683
0.008855566,0.01973119,0.07385345
-0.08123171,0.01290427,-0.04395865
0.030665979,-0.08320538,0.013166778
-0.08072795,0.14653274,0.004962446
0.03914771,-0.036751628,-0.036276665
0.03811168,0.042416748,-0.027164387
-0.054403797,-0.02957926,-0.092591934
0.011546226,0.033867102,-0.090813935
0.0009842749,0.09305294,-0.044297047
0.0602062,0.07720866,-0.023065496
0.019224249,-0.071005106,0.028394481
0.010885401,0.11040544,-0.010612975
-0.063492954,0.003923258,-0.07272077
0.07814318,0.08690343,-0.018170793
-0.06909962,0.010632073,-0.002829277
-0.036539793,0.006716983,0.005063665
-0.08344684,-0.051332068,0.036093816
-0.03987689,-0.028372519,-0.025186192
0.10006386,-0.023904558,-0.0070352247
0.06416278,0.0011661194,-0.028750692
0.07946078,0.058971338,-0.064045705
-0.014802859,-0.09263114,-0.026136475
0.014021528,0.048650973,-0.043643106
0.038412854,0.022579709,0.05378496
-0.051475063,0.0028503444,-0.061179653
0.09041712,0.018509282,-0.029129464
-0.10144539,0.07497177,0.008222392
-0.032817792,0.048761994,-0.05221193
-0.06903359,0.027777428,-0.061384708
-0.028355818,-0.035196457,0.074969485
-0.071352564,-0.03707923,0.06423189
0.05866207,0.021565758,0.0030825878
-0.04916326,0.0149808135,0.05241666
-0.085116655,0.00787607,-0.011787639
0.011686079,-0.08125127,-0.12489676
-0.01998165,-0.02642236,-0.008988945
-0.07002165,0.034822658,-0.03552992
-0.020340754,0.0612661,0.07123506
0.0040535554,-0.037861887,0.09643239
-0.0042882934,-0.059524454,0.02736158
0.07791998,0.0054896595,0.019168979
0.012153845,0.0023677978,-0.027645066
-0.053142004,-0.008312174,-0.06454119
-0.00040291122,-0.0714979,-0.0019745042
0.0013938639,0.08437379,0.053979542
-0.042766284,0.0046569305,-0.062306315
0.045132916,0.010463917,0.089449465
-0.06815447,0.069805376,-0.007146251
0.015460974,-0.0044128466,0.056833547
0.06590758,0.087357916,0.0028156135
-0.034706764,0.026376298,0.106763564
-0.047610335,-0.034726564,-0.009020414
-0.101316586,0.07627491,-0.054527767
0.027454931,-0.047742445,0.04496233
-0.022787191,0.06328622,0.07819907
-0.090516455,-0.06929412,-0.013837692
-0.033528533,-0.107626684,-0.07354777
0.0026314748,0.0116848545,0.023648193
